Date,Close,High,Low,Open,Volume,Symbol,Revenue,daily_return,Price_change,Volatility,Average_price,Net_Profit,Operating_Margin,Price_Change
2015-01-21,1020.0956420898438,1023.4231678648864,1009.7274771767659,1023.4231678648864,2310480,TCS,2356910579.135742,-0.32513684265959114,13.695690688120521,1.3425888831426152,1021.7594049773651,471382115.82714844,20.0,-3.327525775042659
2015-01-22,1019.9940795898438,1023.1187058976052,1012.6694023073768,1021.191164458631,2113214,TCS,2155465768.906372,-0.11722436605900632,10.449303590228396,1.024447474678503,1020.5926220242374,431093153.78127444,20.0,-1.1970848687872149
2015-01-23,1015.95654296875,1027.5014834196097,1012.9130560798499,1020.1768051592891,3150380,TCS,3200649173.8378906,-0.4136794886137534,14.588427339759846,1.4359302512222292,1018.0666740640195,640129834.7675781,20.0,-4.220262190539074
2015-01-27,1017.359130859375,1022.6247134063991,1012.2765030591444,1021.5472360207799,2738736,TCS,2786278076.6132812,-0.4099766524472015,10.348210347254735,1.0171639525674165,1019.4531834400775,557255615.3226563,20.0,-4.188105161404906
2015-01-28,1032.6275634765625,1034.7825186627767,1017.7048859653921,1017.7455867036614,3121980,TCS,3223842600.6225586,1.4622492072013593,17.077632697384615,1.6538036850274551,1025.186575090112,644768520.1245117,20.0,14.881976772901112
2015-01-29,1034.6806640625,1044.459659777903,1021.770789484576,1031.9767457880669,3734392,TCS,3863903194.4296875,0.26201348872142405,22.688870293327,2.1928379529431776,1033.3287049252835,772780638.8859376,20.0,2.7039182744331356
2015-01-30,1009.2271728515625,1047.0215825501793,1004.3274986015313,1041.2070350726772,5817402,TCS,5871080173.801025,-3.0714220269249766,42.694083948648085,4.230374002715001,1025.2171039621198,1174216034.760205,20.0,-31.979862221114672
2015-02-02,1022.29931640625,1025.247240273837,1001.0946347770824,1009.2064881862912,3181802,TCS,3252754009.540039,1.2973388868603883,24.152605496754518,2.3625767042141455,1015.7529022962706,650550801.9080079,20.0,13.092828219958847
2015-02-03,1040.2103271484375,1042.954945425874,1019.4122594652155,1021.2622560732271,2345054,TCS,2439349388.520752,1.855358010396472,23.54268596065856,2.2632620871201015,1030.7362916108323,487869877.70415044,20.0,18.94807107521035
2015-02-04,1022.3402099609375,1045.679599482565,1017.379584577988,1044.175161354879,2245418,TCS,2295581109.5700684,-2.0911195939203724,28.300014904576983,2.768160210157272,1033.2576856579083,459116221.9140137,20.0,-21.834951393941537
2015-02-05,1037.8314208984375,1053.8112152399192,1024.2506853422838,1024.657295380133,4530168,TCS,4701550692.348633,1.2857104104662649,29.560529897635433,2.8482978355044652,1031.2443581392854,940310138.4697266,20.0,13.174125518304436
2015-02-06,1047.326416015625,1055.072361609756,1037.2018598743773,1038.0760322577466,2136416,TCS,2237524912.3984375,0.8911084998041406,17.87050173537864,1.7062972404882062,1042.7012241366858,447504982.4796875,20.0,9.250383757878353
2015-02-09,1021.7703247070312,1044.6218882569733,1016.5250949252286,1041.5316122603892,2076432,TCS,2121636598.8720703,-1.89732959813586,28.09679333174472,2.7498149684275495,1031.6509684837101,424327319.77441406,20.0,-19.761287553357988
2015-02-10,992.5967407226562,1027.1993185847014,989.2829063301647,1020.5919008995944,3799054,TCS,3770928618.22937,-2.743031779133461,37.91641225453668,3.819921091714625,1006.5943208111253,754185723.645874,20.0,-27.995160176938157
2015-02-11,1000.2205200195312,1011.3413501290227,995.0769400354812,998.2485198577381,2937522,TCS,2938169782.4088135,0.19754601410019706,16.264410093541414,1.626082425625883,999.2345199386347,587633956.4817628,20.0,1.9720001617931757
2015-02-12,1001.1353149414062,1008.3120448970342,994.9752098073509,1008.3120448970342,3107980,TCS,3111508536.131592,-0.7117568407467354,13.33683508968329,1.3321710752420974,1004.7236799192202,622301707.2263184,20.0,-7.176729955627934
